Facet number,Profile_type,O_x,O_y,O_z,U_x,U_y,U_z,V_x,V_y,V_z,U_length,V_length,Center_x,Center_y,Center_z,V_max,MC Hits,Hit equiv.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
 moment 27 (260 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 28 (270 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 29 (280 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 30 (290 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 31 (300 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 32 (310 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 33 (320 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 34 (330 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 35 (340 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 36 (350 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 37 (360 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 38 (370 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 39 (380 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 40 (390 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 41 (400 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 42 (410 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 43 (420 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 44 (430 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 45 (440 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 46 (450 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 47 (460 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 48 (470 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 49 (480 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 50 (490 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 51 (500 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 52 (510 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 53 (520 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 54 (530 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 55 (540 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 56 (550 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 57 (560 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 58 (570 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 59 (580 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 60 (590 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 61 (600 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 62 (610 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 63 (620 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 64 (630 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 65 (640 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 66 (650 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 67 (660 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 68 (670 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 69 (680 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 70 (690 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 71 (700 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 72 (710 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 73 (720 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 74 (730 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 75 (740 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 76 (750 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 77 (760 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 78 (770 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 79 (780 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 80 (790 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 81 (800 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 82 (810 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 83 (820 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 84 (830 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 85 (840 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 86 (850 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 87 (860 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 88 (870 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 89 (880 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 90 (890 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 91 (900 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 92 (910 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 93 (920 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 94 (930 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 95 (940 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 96 (950 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 97 (960 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 98 (970 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 99 (980 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 100 (990 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
 moment 101 (1000 s){
122,None,6.7,3.7,4.7,-3,0,0,0,3,0,3,3,5.2,5.2,4.7,1668.56,117476604,1.17477e+08,No profile.
 }
